proxy,role,k,purity,ci_low,ci_high,analytic_chance,permutation_null_mean,enrichment,p_value,holm_p_value_main_k1_k5
llama31_8b_instruct,main,1,0.8160919540229885,0.7241379310344828,0.896551724137931,0.18437246023452922,0.18341034482758684,4.449541571878882,9.999000099990002e-05,0.0007999200079992001
llama31_8b_instruct,main,3,0.632183908045977,0.5555555555555556,0.7049808429118775,0.18437246023452922,0.18379578544061498,3.4395995889156974,9.999000099990002e-05,
llama31_8b_instruct,main,5,0.49425287356321845,0.4367816091954024,0.5517241379310344,0.18437246023452922,0.1839445977011416,2.6869659655144686,9.999000099990002e-05,0.0007999200079992001
llama31_8b_instruct,main,10,0.3597701149425287,0.3183908045977012,0.40229885057471254,0.18437246023452922,0.18417425287355965,1.9534224210455742,9.999000099990002e-05,
gemma4_12b,main,1,0.8505747126436781,0.7701149425287356,0.9195402298850575,0.18437246023452922,0.18432528735632248,4.614530783285405,9.999000099990002e-05,0.0007999200079992001
gemma4_12b,main,3,0.6475095785440612,0.5708812260536399,0.7203065134099618,0.18437246023452922,0.1840597701149437,3.5179310402251245,9.999000099990002e-05,
gemma4_12b,main,5,0.5402298850574713,0.47816091954023,0.6045977011494252,0.18437246023452922,0.18399080459769315,2.9361787195763185,9.999000099990002e-05,0.0007999200079992001
gemma4_12b,main,10,0.37586206896551727,0.3390804597701149,0.41149425287356317,0.18437246023452922,0.1840398850574679,2.042285936269474,9.999000099990002e-05,
ministral3_8b,main,1,0.8275862068965517,0.7471264367816092,0.9080459770114943,0.18437246023452922,0.18405402298850707,4.496430957927113,9.999000099990002e-05,0.0007999200079992001
ministral3_8b,main,3,0.6704980842911877,0.5938697318007663,0.7432950191570883,0.18437246023452922,0.18407854406130433,3.642456472645119,9.999000099990002e-05,
ministral3_8b,main,5,0.5586206896551723,0.4919540229885058,0.625287356321839,0.18437246023452922,0.1840312643678083,3.035466237620922,9.999000099990002e-05,0.0007999200079992001
ministral3_8b,main,10,0.4011494252873562,0.3505459770114942,0.4505747126436781,0.18437246023452922,0.18431471264367402,2.1764373529034406,9.999000099990002e-05,
qwen35_9b,main,1,0.8505747126436781,0.7701149425287356,0.9195402298850575,0.18437246023452922,0.18478620689655187,4.603020576746034,9.999000099990002e-05,0.0007999200079992001
qwen35_9b,main,3,0.6934865900383143,0.6168582375478928,0.7624521072796935,0.18437246023452922,0.18456704980843122,3.7573694262226596,9.999000099990002e-05,
qwen35_9b,main,5,0.5632183908045977,0.5011494252873563,0.6252873563218392,0.18437246023452922,0.18471747126436047,3.0490802356131295,9.999000099990002e-05,0.0007999200079992001
qwen35_9b,main,10,0.41839080459770095,0.3724137931034482,0.46781609195402296,0.18437246023452922,0.1845429885057441,2.2671725866446457,9.999000099990002e-05,
olmo3_7b_instruct,full,1,0.8505747126436781,0.7701149425287356,0.9195402298850575,0.18437246023452922,0.18462068965517398,4.6071473041962,9.999000099990002e-05,
olmo3_7b_instruct,full,3,0.693486590038314,0.6168582375478928,0.7624521072796936,0.18437246023452922,0.18433946360153372,3.762008288888957,9.999000099990002e-05,
olmo3_7b_instruct,full,5,0.5862068965517241,0.5172413793103449,0.650574712643678,0.18437246023452922,0.18427195402298105,3.181205190229961,9.999000099990002e-05,
olmo3_7b_instruct,full,10,0.42413793103448266,0.37701149425287356,0.4701149425287356,0.18437246023452922,0.18423126436781181,2.302203876686776,9.999000099990002e-05,
qwen3_8b,full,1,0.8390804597701149,0.7586206896551724,0.9080459770114943,0.18437246023452922,0.18470459770115,4.542823894009059,9.999000099990002e-05,
qwen3_8b,full,3,0.689655172413793,0.6168582375478927,0.7586206896551724,0.18437246023452922,0.18385862068965758,3.7510080834223705,9.999000099990002e-05,
qwen3_8b,full,5,0.5494252873563218,0.4942528735632184,0.6045977011494253,0.18437246023452922,0.18385540229884367,2.988355416738153,9.999000099990002e-05,
qwen3_8b,full,10,0.39080459770114934,0.3482758620689655,0.4344827586206895,0.18437246023452922,0.18408540229884687,2.122952677511667,9.999000099990002e-05,
qwen3_32b,full,1,0.8390804597701149,0.7698275862068965,0.9080459770114943,0.18437246023452922,0.18525747126436776,4.529266507004853,9.999000099990002e-05,
qwen3_32b,full,3,0.6973180076628352,0.6245210727969348,0.7662835249042146,0.18437246023452922,0.1848007662835263,3.773350195923924,9.999000099990002e-05,
qwen3_32b,full,5,0.6,0.535574712643678,0.664367816091954,0.18437246023452922,0.18473908045976303,3.247823895771109,9.999000099990002e-05,
qwen3_32b,full,10,0.4137931034482758,0.3666666666666667,0.4632183908045975,0.18437246023452922,0.18448517241379025,2.242961307048353,9.999000099990002e-05,
qwen35_27b,full,1,0.8735632183908046,0.8045977011494253,0.9310344827586207,0.18437246023452922,0.18387931034482824,4.750742303484903,9.999000099990002e-05,
qwen35_27b,full,3,0.6819923371647509,0.6053639846743295,0.7509578544061302,0.18437246023452922,0.18368659003831467,3.7128041683527147,9.999000099990002e-05,
qwen35_27b,full,5,0.5793103448275863,0.5103448275862069,0.6436781609195402,0.18437246023452922,0.18385057471263677,3.1509846827134664,9.999000099990002e-05,
qwen35_27b,full,10,0.42643678160919535,0.3793103448275862,0.4793390804597701,0.18437246023452922,0.18400885057470828,2.317479731422269,9.999000099990002e-05,
