seed,perplexity,trustworthiness_at_5,trustworthiness_at_10,knn_jaccard_at_10,family_purity_at_5,family_purity_enrichment_at_5
0,10.0,0.9770869565217392,0.9565798816568047,0.6327580546388596,0.5655172413793104,3.067254408060453
0,15.0,0.9750869565217392,0.9710177514792899,0.6574708418516468,0.5218390804597702,2.8303526448362724
0,30.0,0.9830217391304348,0.9662366863905325,0.6649713968522019,0.5310344827586208,2.8802267002518893
0,50.0,0.977108695652174,0.9733372781065088,0.6516391735199784,0.5080459770114942,2.755541561712846
1,10.0,0.9703260869565218,0.9641301775147929,0.6489006255182725,0.5563218390804598,3.0173803526448366
1,15.0,0.9756086956521739,0.9641301775147929,0.6417180042180043,0.5126436781609196,2.780478589420655
1,30.0,0.9808260869565217,0.9719053254437869,0.6575195066371538,0.5149425287356323,2.7929471032745594
1,50.0,0.9733695652173913,0.9641538461538461,0.6280167055167055,0.5057471264367818,2.7430730478589425
2,10.0,0.9731739130434782,0.9625325443786982,0.6324033276664857,0.5655172413793104,3.067254408060453
2,15.0,0.9775,0.9653964497041421,0.6664908131084601,0.5540229885057473,3.0049118387909326
2,30.0,0.978195652173913,0.9718224852071006,0.6658148224324695,0.5218390804597701,2.830352644836272
2,50.0,0.9759565217391304,0.9692189349112426,0.6336074013705593,0.5034482758620691,2.730604534005038
3,10.0,0.9782173913043478,0.961076923076923,0.6330594199402249,0.5655172413793104,3.067254408060453
3,15.0,0.975108695652174,0.9646153846153847,0.6419692235868708,0.5540229885057472,3.0049118387909317
3,30.0,0.9816521739130435,0.9719171597633136,0.6489552844816002,0.5080459770114942,2.755541561712846
3,50.0,0.9737826086956521,0.9670650887573965,0.6348528226159806,0.49425287356321856,2.6807304785894215
4,10.0,0.9748478260869565,0.9644023668639053,0.6395523920523921,0.5471264367816092,2.9675062972292188
4,15.0,0.9792173913043478,0.962,0.6480267771444242,0.535632183908046,2.905163727959698
4,30.0,0.9835652173913043,0.972508875739645,0.6523203550835128,0.5287356321839082,2.8677581863979853
4,50.0,0.978195652173913,0.9728994082840237,0.6501009078640658,0.4988505747126438,2.70566750629723
